FE, 00
Sample-Nr, Sample
00, 46
01, 1A
02, 1B
03, 19
04, 19
05, 1B
06, 1A
07, 1B
08, 18
09, 1A
0A, 19
0B, 19
0C, 1C
0D, 19
0E, 19
0F, 1A
10, 19
11, 1B
12, 19
13, 1A
14, 19
15, 19
16, 1A
17, 1B
18, 1B
19, 19
1A, 1A
1B, 1A
1C, 19
1D, 1B
1E, 18
1F, 1B
20, 1A
21, 1A
22, 1A
23, 18
24, 1B
25, 19
26, 1B
27, 1B
28, 1A
29, 1A
2A, 19
2B, 1A
2C, 1C
2D, 1B
2E, 19
2F, 1A
30, 19
31, 1B
32, 1C
33, 19
34, 1B
35, 1A
36, 18
37, 1A
38, 19
39, 1A
3A, 1A
3B, 19
3C, 1B
3D, 1A
3E, 1A
3F, 19
40, 19
41, 1B
42, 1A
43, 19
44, 18
45, 1B
46, 1A
47, 1B
48, 19
49, 19
4A, 1A
4B, 19
4C, 1B
4D, 1B
4E, 1B
4F, 19
50, 1A
51, 1A
52, 1B
53, 1A
54, 1A
55, 19
56, 19
57, 1A
58, 18
59, 18
5A, 1C
5B, 1A
5C, 1A
5D, 19
5E, 19
5F, 1C
60, 18
61, 1C
62, 1A
63, 1A
64, 1A
65, 19
66, 1B
67, 19
68, 1B
69, 19
6A, 19
6B, 19
6C, 19
6D, 1B
6E, 19
6F, 18
70, 1A
71, 18
72, 1A
73, 1A
74, 1A
75, 19
76, 1B
77, 12
78, 10
79, 19
7A, 1C
7B, 1B
7C, 1A
7D, 18
7E, 1A
7F, 1C
80, 1A
81, 1C
82, 1B
83, 18
84, 1B
85, 1A
86, 19
87, 1B
88, 18
89, 19
8A, 19
8B, 19
8C, 1B
8D, 19
8E, 1A
8F, 1B
90, 1A
91, 19
92, 1A
93, 18
94, 19
95, 1C
96, 1C
97, 1A
98, 1A
99, 18
9A, 1A
9B, 1B
9C, 1B
9D, 1A
9E, 1A
9F, 1A
A0, 1A
A1, 1B
A2, 1B
A3, 1A
A4, 19
A5, 18
A6, 1B
A7, 1B
A8, 19
A9, 1A
AA, 1A
AB, 1A
AC, 1B
AD, 19
AE, 1C
AF, 1C
B0, 19
B1, 1B
B2, 1B
B3, 1B
B4, 1B
B5, 1A
B6, 1A
B7, 19
B8, 1B
B9, 1A
BA, 19
BB, 1B
BC, 1A
BD, 1B
BE, 19
BF, 19
C0, 1A
C1, 1B
C2, 19
C3, 18
C4, 19
C5, 1A
C6, 18
C7, 1B
C8, 1B
C9, 1C
CA, 18
CB, 1A
CC, 19
CD, 1C
CE, 1A
CF, 19
D0, 19
D1, 19
D2, 19
D3, 1A
D4, 19
D5, 1A
D6, 1A
D7, 1B
D8, 19
D9, 1B
DA, 18
DB, 1A
DC, 1A
DD, 1B
DE, 1A
DF, 19
E0, 19
E1, 1C
E2, 1C
E3, 1C
E4, 19
E5, 18
E6, 19
E7, 1D
E8, 1B
E9, 19
EA, 1B
EB, 18
EC, 1A
ED, 1A
EE, 18
EF, 1A
F0, 1B
F1, 1A
F2, 19
F3, 1A
F4, 1A
F5, 1A
F6, 1C
F7, 17
F8, 16
F9, 1A
FA, 1A
FB, 1B
FC, 1A
FD, 1B
