FE, 1A
Sample-Nr, Sample
00, 94
01, 43
02, 42
03, 45
04, 43
05, 43
06, 43
07, 43
08, 43
09, 43
0A, 45
0B, 43
0C, 42
0D, 41
0E, 43
0F, 43
10, 42
11, 44
12, 41
13, 43
14, 42
15, 40
16, 41
17, 43
18, 42
19, 41
1A, 40
1B, 42
1C, 43
1D, 44
1E, 42
1F, 41
20, 41
21, 44
22, 42
23, 43
24, 44
25, 43
26, 43
27, 42
28, 42
29, 43
2A, 42
2B, 43
2C, 42
2D, 41
2E, 42
2F, 41
30, 42
31, 42
32, 43
33, 42
34, 42
35, 41
36, 43
37, 43
38, 44
39, 43
3A, 42
3B, 42
3C, 43
3D, 42
3E, 43
3F, 43
40, 41
41, 42
42, 42
43, 42
44, 42
45, 43
46, 41
47, 42
48, 42
49, 41
4A, 42
4B, 43
4C, 40
4D, 42
4E, 42
4F, 43
50, 44
51, 43
52, 41
53, 44
54, 44
55, 42
56, 43
57, 40
58, 43
59, 42
5A, 42
5B, 3F
5C, 41
5D, 40
5E, 42
5F, 43
60, 40
61, 41
62, 41
63, 41
64, 44
65, 44
66, 45
67, 42
68, 41
69, 42
6A, 42
6B, 44
6C, 43
6D, 44
6E, 42
6F, 41
70, 43
71, 42
72, 44
73, 42
74, 41
75, 42
76, 40
77, 3A
78, 39
79, 3D
7A, 42
7B, 43
7C, 41
7D, 41
7E, 41
7F, 42
80, 42
81, 44
82, 41
83, 42
84, 41
85, 41
86, 42
87, 44
88, 41
89, 41
8A, 41
8B, 42
8C, 44
8D, 42
8E, 42
8F, 40
90, 42
91, 43
92, 41
93, 43
94, 41
95, 42
96, 43
97, 42
98, 41
99, 41
9A, 44
9B, 42
9C, 43
9D, 43
9E, 42
9F, 43
A0, 43
A1, 45
A2, 43
A3, 42
A4, 42
A5, 40
A6, 42
A7, 43
A8, 43
A9, 41
AA, 40
AB, 40
AC, 42
AD, 43
AE, 42
AF, 41
B0, 40
B1, 41
B2, 43
B3, 42
B4, 42
B5, 42
B6, 42
B7, 42
B8, 44
B9, 42
BA, 40
BB, 44
BC, 42
BD, 44
BE, 43
BF, 42
C0, 42
C1, 42
C2, 43
C3, 43
C4, 42
C5, 42
C6, 41
C7, 40
C8, 42
C9, 44
CA, 43
CB, 42
CC, 41
CD, 43
CE, 44
CF, 44
D0, 44
D1, 42
D2, 40
D3, 44
D4, 43
D5, 43
D6, 42
D7, 40
D8, 41
D9, 42
DA, 43
DB, 41
DC, 43
DD, 41
DE, 42
DF, 43
E0, 40
E1, 42
E2, 41
E3, 44
E4, 42
E5, 43
E6, 42
E7, 43
E8, 41
E9, 43
EA, 45
EB, 41
EC, 40
ED, 43
EE, 43
EF, 43
F0, 43
F1, 42
F2, 42
F3, 41
F4, 44
F5, 41
F6, 3E
F7, 3E
F8, 3D
F9, 3E
FA, 42
FB, 43
FC, 42
FD, 43
